"gene" "pos"
"4311" "ADPRH" 2516
"4312" "CRYAB" 7994
"4313" "CRYBA1" 10231
"4314" "CRYBA2" 1887
"4315" "CRYBA4" 11455
"4316" "CRYBB1" 11455
"4317" "CRYBB2" 11449
"4318" "CRYBB2P1" 11449
"4319" "CRYBB3" 11448
"4320" "CRYGA" 1837
"4321" "CRYGB" 1837
"4322" "PARP1" 857
"4323" "CRYGC" 1837
"4324" "CRYGD" 1837
"4325" "MIB2" 3
"4326" "DUSP19" 1724
"4327" "SLC34A3" 6968
"4328" "ITLN2" 566
"4329" "RAB40A" 11952
"4330" "ASB15" 5707
"4331" "ASB14" 2250
"4332" "ASB12" 11807
"4333" "CRYGS" 2816
"4334" "CRYM" 9909
"4335" "ACSM6" 7360
"4336" "SAMD8" 7273
"4337" "CRYZ" 317
"4338" "LIPJ" 7331
"4339" "CFL1P1" 7327
"4340" "TRUB1" 7449
"4341" "PARP4" 8698
"4342" "MPP7" 7095
"4343" "CS" 8332
"4344" "FRMPD2" 7155
"4345" "VTI1A" 7438
"4346" "MAPK14" 4624
"4347" "DYDC1" 7295
"4348" "EIF5AL1" 7294
"4349" "HECTD2" 7344
"4350" "FGFBP3" 7346
"4351" "C10orf82" 7457
"4352" "CACUL1" 7467
"4353" "CSE1L" 11202
"4354" "SYT9" 7560
"4355" "LDLRAD3" 7690
"4356" "PSMA8" 10536
"4357" "CSF1" 470
"4358" "C11orf40" 7548
"4359" "OR52I2" 7548
"4360" "OR51E1" 7548
"4361" "XRRA1" 7831
"4362" "CSF1R" 4349
"4363" "UBQLNL" 7552
"4364" "MUC15" 7647
"4365" "LOC143666" 7533
"4366" "C11orf94" 7736
"4367" "FAM76B" 7921
"4368" "SESN3" 7918
"4369" "PIWIL4" 7916
"4370" "CSF2" 4268
"4371" "ARHGAP42" 7943
"4372" "KBTBD3" 7967
"4373" "CWF19L2" 7973
"4374" "POGLUT3" 7978
"4375" "CSF2RB" 11500
"4376" "LAYN" 7992
"4377" "TTC36" 8024
"4378" "CSF3" 10270
"4379" "SPINDOC" 7786
"4380" "CSF3R" 145
"4381" "PLEKHA7" 7603
"4382" "SPTY2D1" 7611
"4383" "TMEM86A" 7611
"4384" "OR10A5" 7558
"4385" "OR2AG1" 7558
"4386" "DNHD1" 7556
"4387" "PRICKLE1" 8271
"4388" "AMDHD1" 8512
"4389" "SLC2A14" 8134
"4390" "CSH1" 10369
"4391" "BCDIN3D" 8304
"4392" "ALG10B" 8253
"4393" "CSH2" 10368
"4394" "GLIPR1L2" 8418
"4395" "RFLNA" 8638
"4396" "ZNF664" 8637
"4397" "LINC00477" 8206
"4398" "ETFRF1" 8209
"4399" "CSHL1" 10369
"4400" "CPNE8" 8254
"4401" "TMEM120B" 8627
"4402" "WDR66" 8628
"4403" "GLT1D1" 8659
"4404" "TSPAN19" 8462
"4405" "BEST3" 8391
"4406" "E2F7" 8425
"4407" "SOCS2-AS1" 8501
"4408" "CEP83-DT" 8505
"4409" "CSK" 9712
"4410" "KRT80" 8314
"4411" "A2ML1" 8137
"4412" "A2M-AS1" 8138
"4413" "C12orf66" 8367
"4414" "CSN1S1" 3164
"4415" "C12orf60" 8162
"4416" "FBXL14" 8106
"4417" "CSN2" 3165
"4418" "RAD9B" 8577
"4419" "PHETA1" 8581
"4420" "LINC00934" 8617
"4421" "LINC00410" 9000
"4422" "CSN3" 3166
"4423" "FAM216B" 8781
"4424" "LACC1" 8786
"4425" "LINC00330" 8791
"4426" "LINC00343" 9068
"4427" "ST13P4" 8815
"4428" "B3GLCT" 8728
"4429" "CSNK1A1" 4346
"4430" "LINC00239" 9477
"4431" "LINC00637" 9486
"4432" "RDH12" 9321
"4433" "ADAM21P1" 9332
"4434" "GSC" 9444
"4435" "SERPINA12" 9443
"4436" "PRIMA1" 9439
"4437" "MIPOL1" 9184
"4438" "CSNK1D" 10446
"4439" "PPP1R36" 9306
"4440" "SLC38A6" 9290
"4441" "CSNK1E" 11506
"4442" "ARMH4" 9277
"4443" "FRMD6-AS1" 9249
"4444" "ABHD12B" 9245
"4445" "LOC145474" 9338
"4446" "PTGR2" 9348
"4447" "FAM161B" 9348
"4448" "LRRC74A" 9362
"4449" "CSNK1G2" 10793
"4450" "ISM2" 9364
"4451" "CEP128" 9378
"4452" "MDP1" 9125
"4453" "TTC7B" 9425
"4454" "LRFN5" 9203
"4455" "CSNK1G3" 4229
"4456" "PWAR1" 9504
"4457" "TERB2" 9578
"4458" "CSNK2A1" 11008
"4459" "C2CD4A" 9655
"4460" "LYSMD4" 9819
"4461" "FAM81A" 9643
"4462" "GCOM1" 9635
"4463" "LOC145783" 9631
"4464" "C15orf65" 9625
"4465" "PGPEP1L" 9816
"4466" "LINC00924" 9799
"4467" "DRAIC" 9689
"4468" "LOC145845" 9544
"4469" "C15orf61" 9680
"4470" "C15orf32" 9786
"4471" "HAPLN3" 9770
"4472" "MESP2" 9774
"4473" "CSNK2A2" 10000
"4474" "TMCO5A" 9549
"4475" "SPATA8" 9806
"4476" "NRG4" 9717
"4477" "LINC00052" 9764
"4478" "ADRA1D" 11025
"4479" "ZSCAN29" 9573
"4480" "TTBK2" 9570
"4481" "CDAN1" 9570
"4482" "SLC38A8" 10112
"4483" "VWA3A" 9910
"4484" "ZFP90" 10047
"4485" "VCAN" 4047
"4486" "CARMIL2" 10043
"4487" "KCTD19" 10042
"4488" "CMTM4" 10039
"4489" "CMTM2" 10039
"4490" "BEAN1" 10038
"4491" "TEKT5" 9875
"4492" "NCAN" 10861
"4493" "RNF151" 9837
"4494" "PRR35" 9831
"4495" "FBXL16" 9831
"4496" "SSTR5-AS1" 9833
"4497" "C16orf92" 9937
"4498" "GSG1L" 9934
"4499" "CSPG4" 9716
"4500" "SLC22A31" 10135
"4501" "IL34" 10054
"4502" "ZNF597" 9843
"4503" "BICDL2" 9841
"4504" "TMED6" 10051
"4505" "FRG2DP" 9945
"4506" "CSRP1" 749
"4507" "FLJ30679" 10123
"4508" "LINC02135" 10122
"4509" "ZNF785" 9938
"4510" "ZNF688" 9938
"4511" "PRSS36" 9940
"4512" "C16orf89" 9850
"4513" "C16orf71" 9848
"4514" "CSRP2" 8424
"4515" "MGAT5B" 10424
"4516" "TOM1L2" 10212
"4517" "TEPSIN" 10442
"4518" "B3GNTL1" 10449
"4519" "RBFOX3" 10434
"4520" "CD300LF" 10415
"4521" "C17orf77" 10414
"4522" "DNAH2" 10170
"4523" "RTN4RL1" 10146
"4524" "TCAM1P" 10368
"4525" "SLC25A10" 10444
"4526" "SLC47A2" 10215
"4527" "CDRT15" 10199
"4528" "CFAP52" 10178
"4529" "CCDC42" 10174
"4530" "PIK3R6" 10175
"4531" "ODF4" 10173
"4532" "C17orf50" 10257
"4533" "SLFN13" 10255
"4534" "SLC35G3" 10254
"4535" "UNC45B" 10254
"4536" "CD300LG" 10286
"4537" "CST1" 11115
"4538" "KIF18B" 10291
"4539" "RUNDC1" 10283
"4540" "EME1" 10310
"4541" "ADRA1B" 4394
"4542" "CST2" 11115
"4543" "TMEM199" 10227
"4544" "PROCA1" 10229
"4545" "DHRS13" 10229
"4546" "KCTD11" 10168
"4547" "LINC00974" 10277
"4548" "CST3" 11115
"4549" "NOTUM" 10445
"4550" "TMC8" 10430
"4551" "WIPF2" 10271
"4552" "KRT25" 10274
"4553" "TMEM99" 10274
"4554" "CST4" 11115
"4555" "CST5" 11116
"4556" "STARD6" 10667
"4557" "C18orf25" 10630
"4558" "CCBE1" 10690
"4559" "CBLN2" 10750
"4560" "CST6" 7796
"4561" "SLC25A52" 10563
"4562" "DSG4" 10561
"4563" "AQP4-AS1" 10540
"4564" "ANKRD29" 10525
"4565" "APCDD1" 10498
"4566" "CSTA" 2528
"4567" "LINC00526" 10474
"4568" "CSTB" 11408
"4569" "VSIG10L" 10978
"4570" "C19orf84" 10978
"4571" "SPACA6" 10980
"4572" "ZNF480" 10982
"4573" "ZNF534" 10983
"4574" "ZNF578" 10983
"4575" "ERVV-1" 10985
"4576" "SMIM17" 10999
"4577" "C19orf18" 11004
"4578" "ZNF418" 11004
"4579" "ZNF417" 11004
"4580" "ZNF548" 11002
"4581" "PPM1N" 10955
"4582" "CSTF1" 11235
"4583" "KLC3" 10954
"4584" "IGSF23" 10951
"4585" "LYPD4" 10942
"4586" "ILF3-DT" 10826
"4587" "ZNF560" 10821
"4588" "TMEM190" 10993
"4589" "HIPK4" 10936
"4590" "TMC4" 10990
"4591" "CSTF2" 11943
"4592" "TPM3P9" 10987
"4593" "ZNF524" 10994
"4594" "ZNF784" 10994
"4595" "ZNF563" 10833
"4596" "SPC24" 10828
"4597" "CCDC155" 10970
"4598" "CSTF3" 7677
"4599" "DACT3" 10959
"4600" "SIX5" 10956
"4601" "IGFL2" 10957
"4602" "ZNF420" 10923
"4603" "ZNF565" 10919
"4604" "NLRP4" 10995
"4605" "ZNF542P" 10997
"4606" "ZNF582" 10997
"4607" "ZNF583" 10997
"4608" "FAM98C" 10928
"4609" "CAPN12" 10930
"4610" "DPY19L3" 10903
"4611" "ADRA1A" 5966
"4612" "LGALS16" 10933
"4613" "TTC9B" 10936
"4614" "TICAM1" 10805
"4615" "CIRBP-AS1" 10790
"4616" "ZNRF4" 10807
"4617" "ZNF599" 10913
"4618" "FAM187B" 10915
"4619" "CILP2" 10862
"4620" "PROSER3" 10918
"4621" "LINC00906" 10887
"4622" "ZNF558" 10819
"4623" "CDC42EP5" 10991
"4624" "LINC00662" 10882
"4625" "ZNF98" 10872
"4626" "NKX2-5" 4455
"4627" "ZNF738" 10868
"4628" "ZNF714" 10867
"4629" "ZNF681" 10878
"4630" "C19orf25" 10791
"4631" "ATP8B3" 10792
"4632" "LINC00905" 10848
"4633" "DIRAS1" 10796
"4634" "ZNF555" 10796
"4635" "ZNF569" 10924
"4636" "ZNF570" 10924
"4637" "SYT6" 489
"4638" "C1orf74" 784
"4639" "CREB3L4" 536
"4640" "C1orf127" 43
"4641" "BROX" 843
"4642" "MRPL20-AS1" 2
"4643" "SAMD13" 359
"4644" "C1orf52" 364
"4645" "PHF13" 24
"4646" "CIART" 520
"4647" "TLCD4" 408
"4648" "UBE2U" 269
"4649" "CTBS" 360
"4650" "SLC35F3" 891
"4651" "LOC148696" 775
"4652" "CTBP1" 2872
"4653" "LOC148709" 755
"4654" "PTPRVP" 752
"4655" "ANKRD35" 516
"4656" "FAM163A" 649
"4657" "B3GALNT2" 898
"4658" "CTBP2" 7495
"4659" "MFSD4A" 767
"4660" "PM20D1" 768
"4661" "GCSAML" 950
"4662" "GCSAML-AS1" 950
"4663" "SLC30A7" 434
"4664" "CCDC27" 12
"4665" "ZNF436-AS1" 91
"4666" "CTF1" 9939
"4667" "KNCN" 190
"4668" "MOB3C" 190
"4669" "GLIS1" 220
"4670" "CCN2" 5037
"4671" "LELP1" 533
"4672" "RC3H1" 623
"4673" "MGC27382" 333
"4674" "DCDC2B" 126
"4675" "ZNF362" 131
"4676" "LDC1P" 123
"4677" "DCST1" 540
"4678" "CTH" 297
"4679" "CNIH3" 850
"4680" "LINC01341" 947
"4681" "MANEAL" 151
"4682" "IL23R" 282
"4683" "METTL11B" 606
"4684" "FAM78B" 588
"4685" "CTLA4" 1818
"4686" "SHISA4" 751
"4687" "EXOC8" 880
"4688" "LOC149373" 879
"4689" "PDIK1L" 101
"4690" "BNIPL" 523
"4691" "CLDN19" 173
"4692" "CFAP57" 175
"4693" "C1orf210" 175
"4694" "CCDC24" 179
"4695" "BTBD19" 182
"4696" "CCDC17" 186
"4697" "LRRC71" 548
"4698" "CTNNA1" 4298
"4699" "SRARP" 61
"4700" "CTNNA2" 1314
"4701" "RNF187" 867
"4702" "CHIAP2" 477
"4703" "PYHIN1" 557
"4704" "SPATA45" 798
"4705" "FAM71A" 797
"4706" "ADIG" 11155
"4707" "GTSF1L" 11179
"4708" "CTNS" 10152
"4709" "WFDC5" 11185
"4710" "APCDD1L-DT" 11245
"4711" "GNAS-AS1" 11247
"4712" "PRNT" 11027
"4713" "LINC00654" 11031
"4714" "SHLD1" 11032
"4715" "CTNNB1" 2179
"4716" "NOL4L-DT" 11129
"4717" "COMMD7" 11129
"4718" "BPIFB4" 11131
"4719" "LSM14B" 11262
"4720" "LIPI" 11273
"4721" "AANAT" 10422
"4722" "ADRA2A" 7431
"4723" "CTNND1" 7761
"4724" "ABCC13" 11273
"4725" "LCA5L" 11388
"4726" "IGSF5" 11390
"4727" "SIK1" 11407
"4728" "CTNND2" 3755
"4729" "LINC00479" 11399
"4730" "UMODL1-AS1" 11401
"4731" "SLC9B1" 3312
"4732" "XKR3" 11422
"4733" "LINC00895" 11429
"4734" "AIFM3" 11434
"4735" "ZDHHC8P1" 11441
"4736" "C22orf15" 11443
"4737" "HSCB" 11464
"4738" "CCDC117" 11464
"4739" "HORMAD2" 11470
"4740" "DUSP18" 11473
"4741" "MORC2-AS1" 11474
"4742" "C22orf42" 11479
"4743" "CTPS1" 165
"4744" "ENTHD1" 11512
"4745" "DNAJB7" 11517
"4746" "CHADL" 11519
"4747" "MEI1" 11521
"4748" "PHETA2" 11522
"4749" "NFAM1" 11524
"4750" "PNPLA5" 11530
"4751" "PRR34-AS1" 11540
"4752" "CDPF1" 11541
"4753" "GTSE1-DT" 11541
"4754" "CTRB1" 10071
"4755" "CKAP2L" 1413
"4756" "SATB2-AS1" 1799
"4757" "LINC01102" 1389
"4758" "SMYD1" 1349
"4759" "C2orf15" 1365
"4760" "CTRL" 10045
"4761" "SILC1" 981
"4762" "OTOS" 1983
"4763" "COPS9" 1983
"4764" "OR6B3" 1983
"4765" "COMMD1" 1236
"4766" "PROM2" 1354
"4767" "ANKAR" 1754
"4768" "FBXO41" 1288
"4769" "TTC30B" 1698
"4770" "GPAT2" 1355
"4771" "ITPRIPL1" 1356
"4772" "CTSB" 5901
"4773" "FAM117B" 1813
"4774" "CTSD" 7538
"4775" "TCF23" 1078
"4776" "LOC150935" 1982
"4777" "GAREM2" 1074
"4778" "PUS10" 1232
"4779" "LINC01963" 1874
"4780" "LINC00309" 1246
"4781" "ADRA2B" 1355
"4782" "KANSL1L" 1846
"4783" "PLB1" 1084
"4784" "CTSG" 9127
"4785" "ZSWIM2" 1741
"4786" "ZNF385B" 1707
"4787" "LINC01107" 1976
"4788" "LINC02610" 1975
"4789" "ARL6IP6" 1585
"4790" "METTL21A" 1835
"4791" "CCNYL1" 1835
"4792" "CTSH" 9730
"4793" "KLHL23" 1663
"4794" "SULT1C2P1" 1405
"4795" "PPP1R1C" 1719
"4796" "SGO2" 1803
"4797" "C2CD6" 1808
"4798" "SLC38A11" 1641
"4799" "CCDC140" 1902
"4800" "SLC23A3" 1888
"4801" "CTSK" 522
"4802" "LINC00608" 1887
"4803" "GPBAR1" 1884
"4804" "MYADML" 1108
"4805" "LRATD1" 1021
"4806" "RMDN2" 1127
"4807" "CTSL" 6751
"4808" "GDF7" 1049
"4809" "SLC16A14" 1938
"4810" "LINC01907" 1940
"4811" "LINC00471" 1944
"4812" "GCSIR" 1941
"4813" "MSL3P1" 1954
"4814" "ASPRV1" 1273
"4815" "WDSUB1" 1615
"4816" "UPP2" 1609
"4817" "LBX2-AS1" 1293
"4818" "GPR155" 1684
"4819" "TTC14" 2790
"4820" "DTX3L" 2529
"4821" "TAFA4" 2302
"4822" "SGO1" 2083
"4823" "PP2D1" 2082
"4824" "EFHB" 2082
"4825" "LINC00635" 2462
"4826" "PPM1L" 2699
"4827" "WDR49" 2730
"4828" "CTSLP8" 6752
"4829" "LRRC34" 2740
"4830" "CPNE9" 2036
"4831" "DPPA2" 2469
"4832" "CCDC80" 2484
"4833" "BTLA" 2483
"4834" "CTSO" 3549
"4835" "CCDC12" 2204
"4836" "MB21D2" 2845
"4837" "PPP4R2" 2322
"4838" "ADRA2C" 2883
"4839" "CTSS" 522
"4840" "XXYLT1" 2855
"4841" "RNF38" 6654
"4842" "GLIPR2" 6653
"4843" "LINC00691" 2101
"4844" "C3orf22" 2546
"4845" "SLC66A1L" 2684
"4846" "ZCWPW2" 2120
"4847" "CTSW" 7796
"4848" "CMC1" 2120
"4849" "NEK10" 2115
"4850" "C3orf79" 2666
"4851" "CCDC50" 2838
"4852" "PYDC2" 2839
"4853" "SPICE1" 2488
"4854" "CMTM8" 2138
"4855" "NUDT16P1" 2566
"4856" "CTSZ" 11247
"4857" "CCDC13" 2185
"4858" "NCBP2AS2" 2863
"4859" "LINC02085" 2435
"4860" "FGD5" 2059
"4861" "CUX1" 5610
"4862" "CIDECP1" 2037
"4863" "CNTN4" 2001
"4864" "CX3CR1" 2170
"4865" "IGSF11" 2513
"4866" "TEX55" 2514
"4867" "ZNF827" 3502
"4868" "CXADR" 11288
"4869" "SH3D19" 3526
"4870" "NFXL1" 3079
"4871" "NIPAL1" 3080
"4872" "PAQR3" 3204
"4873" "SHISA3" 3054
"4874" "LINC01618" 3088
"4875" "SCFD2" 3089
"4876" "MGAT4D" 3479
"4877" "WWC2-AS2" 3673
"4878" "ZNF595" 2867
"4879" "LINC01085" 2924
"4880" "FAM218A" 3590
"4881" "JAKMIP1" 2891
"4882" "CYB5A" 10759
"4883" "THAP6" 3189
"4884" "ODAPH" 3189
"4885" "KLB" 3041
"4886" "FAM53A" 2873
"4887" "PPM1K" 3246
"4888" "C4orf45" 3562
"4889" "TRMT44" 2902
"4890" "ADRB1" 7445
"4891" "RASGEF1B" 3216
"4892" "DAB2IP" 6900
"4893" "SLC38A9" 3932
"4894" "MGC32805" 4224
"4895" "SLC36A2" 4355
"4896" "SPINK13" 4341
"4897" "CREBRF" 4454
"4898" "CEP120" 4228
"4899" "SLC25A48" 4285
"4900" "TMEM167A" 4045
"4901" "MBLAC2" 4079
"4902" "TMEM161B" 4069
"4903" "CYB561" 10367
"4904" "SRFBP1" 4222
"4905" "JAKMIP2-AS1" 4337
"4906" "PLEKHG4B" 3705
"4907" "CYBA" 10132
"4908" "ZMAT2" 4306
"4909" "C5orf38" 3716
"4910" "IRX2" 3716
"4911" "BTNL9" 4485
"4912" "CYBB" 11722
"4913" "ARSK" 4103
"4914" "FAM81B" 4102
"4915" "TTC23L" 3857
"4916" "LOC153684" 3894
"4917" "CCDC112" 4192
"4918" "PPP1R2B" 4380
"4919" "FAM71B" 4381
"4920" "PRELID2" 4329
"4921" "SH3RF2" 4330
"4922" "PLAC8L1" 4331
"4923" "CYLC1" 11884
"4924" "RNF145" 4390
"4925" "CYLC2" 6815
"4926" "LOC153910" 5086
"4927" "ZC2HC1B" 5092
"4928" "ADRB2" 4343
"4929" "CYLD" 9966
"4930" "SNRNP48" 4519
"4931" "CNKSR3" 5140
"4932" "RAET1L" 5120
"4933" "SAMD3" 5029
"4934" "LINC01312" 5046
"4935" "SLC2A12" 5047
"4936" "LINC01010" 5049
"4937" "MBOAT1" 4576
"4938" "HDGFL1" 4587
"4939" "PNLDC1" 5164
"4940" "RNF217" 5005
"4941" "NKAIN2" 5000
"4942" "KHDC3L" 4776
"4943" "CYP1A1" 9712
"4944" "CFAP206" 4838
"4945" "LINC01600" 4497
"4946" "CYP1A2" 9712
"4947" "BVES-AS1" 4916
"4948" "LOC154449" 5210
"4949" "CCDC167" 4630
"4950" "CYP1B1" 1128
"4951" "RUNDC3B" 5549
"4952" "ABCA13" 5422
"4953" "BMT2" 5657
"4954" "PRSS3P2" 5791
"4955" "CLEC2L" 5777
"4956" "FMC1" 5777
"4957" "AMOT" 11992
"4958" "CYP2A6" 10938
"4959" "VKORC1L1" 5466
"4960" "AMOTL1" 7917
"4961" "LINC00689" 5855
"4962" "FEZF1-AS1" 5701
"4963" "IQUB" 5706
"4964" "C7orf77" 5712
"4965" "KCTD7" 5469
"4966" "CYP2A7" 10938
"4967" "C7orf66" 5639
"4968" "ADRB3" 6018
"4969" "TMEM213" 5774
"4970" "GIMAP8" 5819
"4971" "CRYGN" 5823
"4972" "ZNF425" 5816
"4973" "LOC155060" 5816
"4974" "ZNF746" 5817
"4975" "CYP3A7" 5602
"4976" "SLC2A7" 35
"4977" "AMZ1" 5222
"4978" "CYP2A13" 10939
"4979" "METTL27" 5494
"4980" "VPS37D" 5493
"4981" "RBM33" 5840
"4982" "AGR3" 5283
"4983" "CYP2B6" 10939
"4984" "CYP2B7P" 10938
"4985" "CYP2C19" 7358
"4986" "CYP2C8" 7359
"4987" "CYP2C9" 7359
"4988" "GRK2" 7801
"4989" "CYP2C18" 7358
"4990" "CYP2D7" 11522
"4991" "CYP2D6" 11522
"4992" "GRK3" 11450
"4993" "CYP2F1" 10939
"4994" "LOC157273" 5890
"4995" "CYP2J2" 250
"4996" "PEBP4" 5948
"4997" "CDCA2" 5961
"4998" "TMEM65" 6397
"4999" "LINC00964" 6399
"5000" "RDH10" 6166
"5001" "BAALC-AS2" 6299
"5002" "ANKRD46" 6287
"5003" "ESCO2" 5971
"5004" "FBXO16" 5974
"5005" "CYP3A4" 5602
"5006" "LINC00599" 5892
"5007" "LRATD2" 6407
"5008" "C8orf37" 6264
"5009" "VPS13B" 6281
"5010" "TDRP" 5857
"5011" "ERICH1" 5857
"5012" "CYP3A5" 5602
"5013" "SLC7A13" 6223
"5014" "TDH" 5899
"5015" "TMEM74" 6324
"5016" "FAM91A1" 6394
"5017" "C8orf48" 5906
"5018" "MCMDC2" 6137
"5019" "CLVS1" 6112
"5020" "NKX6-3" 6034
"5021" "KCNU1" 6012
"5022" "SBSPON" 6165
"5023" "CYP4A11" 191
"5024" "CAMSAP1" 6962
"5025" "C9orf62" 6960
"5026" "ADSL" 11515
"5027" "CYP4B1" 191
"5028" "LINC00032" 6614
"5029" "LINGO2" 6617
"5030" "NXNL2" 6754
"5031" "C9orf163" 6965
"5032" "MAMDC4" 6967
"5033" "LCN6" 6966
"5034" "AK8" 6948
"5035" "CYP7A1" 6099
"5036" "OR1Q1" 6905
"5037" "TTLL11" 6901
"5038" "RASEF" 6730
"5039" "CYP8B1" 2186
"5040" "TTC39B" 6559
"5041" "FAM201A" 6664
"5042" "TRMT10B" 6660
"5043" "TTC16" 6928
"5044" "LINC02603" 6778
"5045" "FAM120AOS" 6775
"5046" "SAXO1" 6576
"5047" "CYP11A1" 9711
"5048" "LINC00475" 6769
"5049" "FREM1" 6557
"5050" "KIAA2026" 6517
"5051" "SPAAR" 6652
"5052" "ATP8B5P" 6650
"5053" "ZNF483" 6854
"5054" "CYP11B1" 6483
"5055" "SHOC1" 6854
"5056" "KIAA1958" 6858
"5057" "TSTD2" 6790
"5058" "LOC158434" 6785
"5059" "LOC158435" 6785
"5060" "PRUNE2" 6701
"5061" "CYP11B2" 6483
"5062" "CBLL2" 11653
"5063" "CSAG1" 12158
"5064" "FMR1NB" 12138
"5065" "USP27X-AS1" 11772
"5066" "FAAH2" 11797
"5067" "ZXDB" 11799
"5068" "CYP17A1" 7394
"5069" "ADAM3A" 6024
"5070" "FAM47A" 11707
"5071" "MOSPD2" 11620
"5072" "ARHGAP36" 12070
"5073" "RIBC1" 11782
"5074" "AKAP14" 12022
"5075" "CYP19A1" 9606
"5076" "RHOXF1" 12023
"5077" "NKAPP1" 12023
"5078" "MAGEB6" 11671
"5079" "CXorf65" 11836
"5080" "AWAT1" 11832
"5081" "AWAT2" 11831
"5082" "ZDHHC15" 11850
"5083" "USP51" 11791
"5084" "H2BW1" 11954
"5085" "ADSS2" 937
"5086" "CXorf38" 11736
"5087" "FAM122B" 12086
"5088" "FAM122C" 12086
"5089" "CYP24A1" 11225
"5090" "USP54" 7266
"5091" "CYP26A1" 7351
"5092" "NKX2-3" 7379
"5093" "CYP27A1" 1886
"5094" "SLC35G1" 7354
"5095" "CYP27B1" 8338
"5096" "CYP51A1" 5569
"5097" "CFAP58" 7400
"5098" "SLC5A12" 7648
"5099" "DEUP1" 7910
"5100" "AARS1" 10053
"5101" "AP2A1" 10972
"5102" "DAB1" 236
"5103" "PATE1" 8057
"5104" "DAB2" 3877
"5105" "C11orf65" 7977
"5106" "DACH1" 8910
"5107" "LDHAL6A" 7610
"5108" "C11orf42" 7555
"5109" "DAD1" 9119
"5110" "KRT19P2" 8507
"5111" "TMTC2" 8451
"5112" "CLEC12A" 8140
"5113" "CLECL1" 8139
"5114" "CD55" 773
"5115" "TMTC3" 8476
"5116" "C12orf50" 8475
"5117" "ALDH1L2" 8553
"5118" "LMNTD1" 8211
"5119" "DAG1" 2215
"5120" "DENND5B" 8237
"5121" "DGKA" 8331
"5122" "GRASP" 8314
"5123" "DGKB" 5270
"5124" "SLC5A8" 8535
"5125" "PPTC7" 8578
"5126" "CCDC63" 8579
"5127" "CCDC60" 8617
"5128" "DGKG" 2814
"5129" "DGKH" 8778
"5130" "CCDC122" 8786
"5131" "GPR180" 9017
"5132" "DGKQ" 2870
"5133" "AP2A2" 7535
"5134" "DAO" 8570
"5135" "STOML3" 8764
"5136" "DAP" 3753
"5137" "FAM71D" 9318
"5138" "TMEM229B" 9319
"5139" "ACTN1-AS1" 9327
"5140" "SYNE3" 9447
"5141" "CLEC14A" 9189
"5142" "DAPK1" 6750
"5143" "FITM1" 9125
"5144" "REM2" 9120
"5145" "TMEM30B" 9292
"5146" "DAPK3" 10801
"5147" "MDGA2" 9227
"5148" "SAMD15" 9364
"5149" "NOP9" 9126
"5150" "EML5" 9416
"5151" "DARS1" 1507
"5152" "CFAP161" 9740
"5153" "TBC1D21" 9709
"5154" "DNAAF4" 9625
"5155" "CSNK1A1P1" 9543
"5156" "OTUD7A" 9524
"5157" "SPRED1" 9550
"5158" "ODF3L1" 9716
"5159" "PGBD4" 9533
"5160" "DAZL" 2067
"5161" "ADAL" 9573
"5162" "EXD1" 9563
"5163" "FSIP1" 9556
"5164" "ZFPM1" 10132
"5165" "ADAD2" 10113
"5166" "AP1B1" 11467
"5167" "BRINP1" 6889
"5168" "ITPRIPL2" 9901
"5169" "C16orf82" 9931
"5170" "DBH" 6952
"5171" "DBI" 1441
"5172" "ZFP1" 10071
"5173" "ANKFN1" 10337
"5174" "MARCHF10" 10363
"5175" "MFSD6L" 10175
"5176" "SLFN5" 10255
"5177" "NAGS" 10287
"5178" "RETREG3" 10281
"5179" "TMEM92" 10310
"5180" "PHOSPHO1" 10305
"5181" "RHBDL3" 10241
"5182" "TRPV3" 10152
"5183" "SLC16A11" 10167
"5184" "FBXO39" 10166
"5185" "KRT28" 10274
"5186" "ZNF519" 10513
"5187" "C18orf54" 10667
"5188" "ELOA3" 10633
"5189" "DBN1" 4472
"5190" "DBP" 10967
"5191" "DBT" 431
"5192" "ZNF836" 10982
"5193" "ZNF610" 10983
"5194" "ZNF600" 10984
"5195" "ZNF320" 10985
"5196" "ZNF497" 11006
"5197" "ZNF550" 11002
"5198" "ZNF296" 10953
"5199" "DEDD2" 10944
"5200" "ZNF846" 10822
"5201" "OR7D2" 10820
"5202" "AP2B1" 10256
"5203" "DCC" 10658
"5204" "ZNF579" 10994
"5205" "ZNF791" 10834
"5206" "ZNF564" 10833
"5207" "ZNF709" 10833
"5208" "ZNF433" 10831
"5209" "ZNF114" 10966
"5210" "ZNF567" 10921
"5211" "ZNF383" 10923
"5212" "ZNF781" 10925
"5213" "EID2" 10933
"5214" "ZNF780B" 10935
"5215" "PRR22" 10809
"5216" "LGI4" 10915
"5217" "SYNE4" 10919
"5218" "ECI1" 9838
"5219" "ZNF676" 10872
"5220" "ZNF100" 10870
"5221" "ZNF540" 10925
"5222" "DENND2C" 491
"5223" "DCK" 3169
"5224" "GBP6" 382
"5225" "DCN" 8490
"5226" "PLPPR5" 425
"5227" "FNDC7" 465
"5228" "DENND1B" 731
"5229" "DCTD" 3672
"5230" "TDRD5" 648
"5231" "TOR1AIP2" 650
"5232" "ACE" 10367
"5233" "CALML6" 4
"5234" "IFNLR1" 93
"5235" "CYP4Z2P" 191
"5236" "CITED4" 164
